k_id,title,synopsis,type,seasons,imageUrl
"0011",King the Land,"Cheon Sa-Rang, seorang gadis muda dengan kepribadian ceria serta murah senyum. Sa Rang kini terlihat begitu bahagia sebab baru saja diterima bekerja di sebuah hotel terkenal King of the Land. Merasa bersyukur atas pekerjaan barunya, Sa Rang berusaha untuk berprestasi di King of the Land. Namun suatu kejadian konyol menghampiri perempuan tersebut ketika Sa Rang bertemu Gu Won di gym hotel. Sa Rang mengira bahwa Gu Won adalah tamu hotel yang bertindak tidak sopan. Alhasil Sa Rang kelepasan dan berteriak “Tuan, Orang Cabul” kepada Gu Wong. Padahal Gu Won merupakan putra keluarga chaebol pemilih The King Group, perusahaan yang bergerak dibidang distribusi, perhotelan, hingga maskapai penerbangan, Tidak hanya itu, hotel tempat Sa Rang bekerja adalah milik The King Group. Kendati demikian, ketidaktahuan Sa Rang sepertinya menjadi sebab kedekatannya dengan Gu Wong.",K-Drama,2023,d029940c-a27b-43d1-b109-59a22246c744.jpg
"0012",King the Land,"Cheon Sa-Rang, seorang gadis muda dengan kepribadian ceria serta murah senyum. Sa Rang kini terlihat begitu bahagia sebab baru saja diterima bekerja di sebuah hotel terkenal King of the Land. Merasa bersyukur atas pekerjaan barunya, Sa Rang berusaha untuk berprestasi di King of the Land. Namun suatu kejadian konyol menghampiri perempuan tersebut ketika Sa Rang bertemu Gu Won di gym hotel. Sa Rang mengira bahwa Gu Won adalah tamu hotel yang bertindak tidak sopan. Alhasil Sa Rang kelepasan dan berteriak “Tuan, Orang Cabul” kepada Gu Wong. Padahal Gu Won merupakan putra keluarga chaebol pemilih The King Group, perusahaan yang bergerak dibidang distribusi, perhotelan, hingga maskapai penerbangan, Tidak hanya itu, hotel tempat Sa Rang bekerja adalah milik The King Group. Kendati demikian, ketidaktahuan Sa Rang sepertinya menjadi sebab kedekatannya dengan Gu Wong.",K-Drama,2023,1435e8e3-e816-490b-8001-26011cb80f24.jpg
"0013",Bitch X Rich,Baek Je Na adalah konglomerat generasi ketiga dan sendok emas kelas tertinggi di Sekolah Tinggi Internasional Cheongdam Kim Hye In tumbuh dalam kemiskinan dan ditawarkan kesempatan untuk belajar di Sekolah Tinggi Internasional Cheongdam Dalam pertukaran untuk diamnya pada pembunuhan dia menyaksikan Sekolah Tinggi Internasional Cheongdam adalah misteri pembunuhan yang mengikuti Je Nas persaingan dengan Kim Hye In karena mereka mengadu satu sama lain dalam peperangan mental.,K-Drama,2023,552d35ed-be5e-4819-9bcd-20ce463cfb95.jpg
"0014",Battle for Happiness,Sebuah drama menegangkan yang menggambarkan para ibu terlibat dalam pertempuran media sosial yang sengit untuk menghancurkan setiap kebahagiaan orang lain untuk diri mereka sendiri untuk membebaskan diri dari penindasan dan rahasia serta mendapatkan kembali diri mereka yang sebenarnya.,K-Drama,2023,7eaca1b6-5db9-4533-92e0-4e91840395f2.jpg
"0015",Delightfully Deceitful,Lee Ro Um adalah artis scam jenius dan memiliki hadiah gab Dia telah membuat keberuntungan dengan melakukan penipuan Dia juga tidak memiliki empati apapun Lee Ro Um menjadi terlibat dengan Han Moo Young Han Moo Young bekerja sebagai pengacara Dia adalah kebalikan dari Lee Ro Um dalam hal kepribadian mereka Dia memiliki empati besar untuk orang lain dan adalah jeli keadaan mental mereka Dia kadang-kadang terlalu tenggelam dengan orang lain Bahkan ketika ia melihat orang-orang yang terluka dia terserang kelainan fisik.,K-Drama,2023,ebebb4b3-1c4e-439b-99df-9f8c0aedef71.jpg
"0016",Race,Menceritakan kisah sosok Park Yoon-Zo yang merupakan seorang wanita lajang biasa. Park Yoon-Zo diceritakan mendapat pekerjaan baru di departemen humas atau PR sebuah perusahaan besar tempat temannya Ryu Jae-Min bekerja. Ryu Jae-Min ini merupakan sosok yang menjaga garis jelas antara pekerjaannya dan kehidupan pribadinya. Kepribadiannya ini sangatlah berkebalikan dengan kepribadian Park Yoon-Zo.,K-Drama,2023,17e62bd1-dfc3-440e-84b7-3323235aa433.jpg
"0017",Tale of the Nine-Tailed 1938,Sebuah kasus yang tak terduga memimpin Lee Yeon kembali pada waktunya ke tahun 1938 di mana ia bertemu kembali Ryu Hong Joo Setelah roh penjaga gunung di barat shes sekarang pemilik restoran highend di ibu kota Gyeongseong Dia juga bertemu adiknya Lee Rang Sementara itu mantan penjaga lain roh dan exfriend Cheon Moo Young telah menjadi bermusuhan Lee Yeon perjuangan untuk kembali ke masa sekarang ke yang dicintainya.,K-Drama,2023,4009c4f9-0415-490c-99a1-d9115ad49018.jpg
"0018",All That We Loved,"Mengisahkan tentang Go Yoo dan Joon Hee, dua teman SMA dengan selera yang berbeda. Saat Joon Hee sakit, Go Yoo memberinya transplantasi ginjal, tetapi kemudian Joon Hee mengalami sindrom memori seluler. Tiba-tiba Joon Hee menjadi seperti Go Yoo dan begitu pula sebaliknya. Alhasil, kedua sahabat itu menjadi saingan cinta So Yeon di tengah persahabatan mereka. So Yeon adalah gadis baru yang dibicarakan semua orang karena kecantikannya. 15 tahun kemudian, So Yeon dan ‘Dr Go’ secara kebetulan bertemu lagi.",K-Drama,2023,e2a03734-5600-4b76-9c72-fe83be4a6010.jpg
"0019",My Perfect Stranger,"Mengisahkan tentang Yoon Hae Joon, seorang koresponden urusan sosial yang menemukan cara untuk melakukan perjalanan waktu. Sebagai seorang yang penuh dengan keadilan, dia melakukan perjalanan ke masa depan untuk belajar tentang masa lalu dan kembali ke masa kini untuk menyelamatkan korban kejahatan. Namun, pada suatu saat, ia menyadari bahwa dirinya di masa depan sudah tidak lagi menerbitkan artikel berita. Dia kemudian melakukan penyelidikan dan menemukan dirinya terlibat dalam kasus pembunuhan berantai pada tahun 1987.",K-Drama,2023,5256f72d-bdb9-4035-ac23-46c0f3dee291.jpg
"0020",Dr. Romantic Season 3,"Mengisahkan berbagai masalah rumit yang terjadi di Rumah Sakit Daerah Doldam. Dalam season kali ini, berbagai masalah semakin berat dirasakan oleh ketiga dokter tersebut. Dokter Rumah Sakit Daerah Doldam harus melakukan tindakan medis di tengah lokasi yang sulit dan peralatan medis terbatas. Situasi itu membuat mereka belajar dan beradaptasi untuk membantu banyak pasien. Sayangnya, beberapa pasien di daerah Doldam ini masih sangat keras kepala hingga sulit mengikuti perintah dokter dan menolak mengikuti anjuran perawatan medis yang harus dilakukan.",K-Drama,2023,9d634a5c-e397-45ce-a7ba-461ffbc54102.jpg
"0021",The Good Bad Mother,Young Soon adalah seorang ibu tunggal dan peternak babi yang membesarkan anaknya Kang Ho sendirian Meskipun cintanya kepadanya pengasuhan yang ketat menyebabkan Kang Ho untuk melihatnya sebagai ibu yang buruk Sebagai seorang dewasa Kang Ho menjadi jaksa dingin dan menjaga jarak dari ibunya Namun kecelakaan yang tak terduga menyebabkan dia kembali ke kampung halamannya dan memulai kembali dengan Young Soon Kang Hos teman masa kecil Mi Joo yang dikenal karena hati yang hangat dan rasa keadilan yang kuat juga berhubungan kembali dengannya setelah kecelakaan yang mengarah ke sebuah pengalaman transformatif untuk nya.,K-Drama,2023,a3e4f18f-95bd-49d3-9b0e-b3bd241c482c.jpg
"0022",Soulmate,Hello My Soulmate adalah sebuah cerita comingofage dimana dua teman pertama bertemu di usia 13 tahun dan menghabiskan waktu 14 tahun tersisa dekat dan berbagi pengalaman dalam persahabatan dan asmara.,K-Drama,2023,4ef98eb2-e546-49cc-b635-18da56ca2ebc.jpg
"0023",Doctor Cha,Cha Jung Sook menikah dengan Seo In Ho yang bekerja sebagai kepala ahli bedah di sebuah rumah sakit universitas Dia memiliki sensitif dan kepribadian yang ketat Cha Jung Sook telah menjadi ibu rumah tangga penuh selama 20 tahun terakhir menyerahkan kariernya sebagai dokter selama tahun perawatan medisnya Setelah bertahun-tahun dia memutuskan untuk memulai kembali kursus medis nya.,K-Drama,2023,5651f0e1-7710-4aa0-87de-c30988dbf1d6.jpg
"0024",Stealer: The Treasure Keeper,Hwang Dae Myung adalah seorang pejabat dengan Administrasi Warisan Budaya hidup ganda kehidupan. Hes seorang pegawai sipil menyedihkan oleh hari dan pencuri berani oleh malam Ketika Polisi Metropolitan Seoul Agencys tim properti budaya merombak beberapa countrys kehilangan aset budaya baik hidupnya mulai unravel.,K-Drama,2023,6252615e-6655-417e-82b1-4d9dc22f526f.jpg
"0025",Bo Ra! Deborah,Serial ini mengikuti perjalanan romantis Yeon Bo Ra seorang pelatih cinta yang terkenal dan penulis sukses novel roman dan Lee Soo Hyuk seorang pria menawan yang bergulat dengan masalah hati. Sebagai perencana penerbitan discerning Soo Hyuk tidak mudah terkesan dan awalnya memiliki kesan negatif dari Bo Ra Namun kehidupan mereka menjadi terjerat secara tak terduga dan ia menjadi semakin tertarik padanya. Sementara itu Han Sang Jin Soo Hyuks teman dan rekan bisnis mengepalai perusahaan penerbitan buku Jinri.,K-Drama,2023,67b94540-5b37-4f4e-94d8-3ce09c90f5bb.jpg
"0026",Duty After School,Para siswa dan guru di SMA Sungjin menerima kejutan menakutkan ketika mereka menyaksikan awal invasi alien Datang dari langit telur mengerikan menetas kekerasan insektlike makhluk yang menyerang manusia Invasi adalah di seluruh dunia dan Korea Selatan militer takut itu akan kewalahan Dalam keputusasaan Presiden mengumumkan bahwa wajib wajib militer akan dimulai dan bahwa semua siswa kelas tiga tinggi laki-laki dan perempuan harus bergabung dengan angkatan bersenjata.,K-Drama,2023,d19c793d-1fdd-4785-a2c0-4e67ead06a16.jpg
"0027",Joseon Attorney: A Morality,Kang Han Su adalah seorang pengacara licik yang dengan cermat merencanakan tuntutan hukum dan mengeksploitasi emosi kliennya untuk keuntungan pribadi Namun karena ia tidak sengaja mendapatkan reputasi sebagai pahlawan dan pemecah masalah di antara orang-orang biasa ia mulai melihat nilai dalam mencari keadilan sejati.,K-Drama,2023,543ab2c8-4708-4b9b-9b4d-59d4ae6f4d99.jpg
"0028",The Secret Romantic Guesthouse,"Mengisahkan Yoon Dan Oh (diperankan oleh Shin Ye Eun) telah menikmati kehidupan yang nyaman sebagai putri bungsu tercinta dari keluarga kaya, tapi sekarang tidak lagi. Dia sekarang adalah pencari nafkah keluarganya dan menjalankan Ihwawon Inn, di mana banyak tamunya adalah sarjana yang datang ke Hanyang untuk mengikuti ujian masuk pegawai negeri untuk menjadi pejabat tinggi.",K-Drama,2023,2e785cab-ffcb-47ea-b25c-a1bc28ee2a36.jpg
"0029",Pandora: Beneath the Paradise,"Dalam rangka untuk melindungi keluarga tercinta Hong Tae Ra harus menjadi Ibu Negara Korea, Hong Tae Ra memiliki kehidupan yang sempurna dengan suaminya yang tercinta Pyo Jae Hyun dan putri kekasih mereka kecuali untuk satu hal Hong Tae Ra tidak memiliki ingatan masa lalunya.Pada suatu hari dia mendapatkan kembali ingatannya dan menghadapi masa lalunya yang sempurna sekarang rusak dan dia menemukan dirinya dalam situasi yang tak terkendali Hong Tae Ra berjuang untuk membalas dendam pada mereka yang bertanggung jawab atas masa lalunya.",K-Drama,2023,7db31b06-7192-4ac9-a425-2682b533111c.jpg
"0030",Oasis,"Mengikuti kisah persahabatan antara Lee Doo Hak, Oh Jung Shin, dan Choo Yeong Woo. Lee Doo Hak merupakan siswa sekolah menengah di kota provinsi yang berasal dari keluarga miskin. Meskipun berasal dari keluarga kurang mampu, Lee Do Hak adalah anak yang cerdas dan penyayang. Ia jatuh cinta pada pandangan pertama dengan Oh Jung Shin yang merupakan murid pindahan dari Seoul. Namun, tiba-tiba Lee Do Hak terlibat dalam sebuah kasus tak terduga yang mengubah hidupnya. Sementara itu, Oh Jung Shin merupakan anak yang selalu jujur dan percaya diri. Ia sangat bersikap adil dan berani melawan ketidakadilan yang ada disekitarnya.",K-Drama,2023,a1b81033-d0ff-4e93-8d04-202927df17de.jpg
"0031",Divorce Attorney Shin,"Berkisah tentang Shin Sung Han (Cho Seung Woo), seorang warga negara Korea yang tinggal di Jerman untuk menekuni jurusan piano. Shin Sung Han merupakan profesor di sebuah universitas musik di Jerman. Ia juga merupakan pria cerdas dan bertalenta di bidang musik. Suatu hari, Shin Sung Han mendengar kabar mengejutkan dari Korea. Untuk mengetahui kebenaran dari kabar tersebut, ia memutuskan untuk kembali ke Korea dan mengganti profesinya. Ia kini menekuni bidang pengacara dan berhasil menjadi seorang pengacara di bidang perceraian. Dirinya memilih sebagai pengacara yang fokus pada perceraian karena pengalaman masa lalunya. Shin Sung Han menghadapi klien dengan beragam kisah dan terus berusaha membantu mereka. Profesinya sebagai pengacara membantu dirinya menemukan kebenaran yang selama ini ia cari.",K-Drama,2023,f998fb04-19fb-49ce-911e-22714002bca3.jpg
"0032",Delivery Man,"Sebuah taksi dengan menakutkan berkeliling jalan-jalan pada malam hari, yang membuatnya semakin menyeramkan adalah karena hanya pengemudinya saja yang terlihat. Taksi ini adalah taksi khusus yang disediakan untuk hantu, karena itulah penumpangnya tidak terlihat. Membuat kesepakatan dengan hantu perawan untuk menemukan apa yang akhirnya menyebabkan kematiannya, supir taksi ini mengumpulkan uang dari roh pengembara yang datang untuk meminta pertolongan terakhir mereka.",K-Drama,2023,960f7584-42dc-4459-8587-374cf2f1bdb1.jpg
"0033",Call It Love,"Sebuah kisah melodrama romansa, tentang hubungan kisah dari gambaran seorang pria dan wanita yang keduanya merasakan kenyaan pahit dan betapa lelahnya kehidupan mereka. Hingga mereka berdua mulai untuk saling memahami, dengan merubah suasana emosi baru hingga perubahan secara bertahap. Kisah berawal dari mengikuti seorang wanita Shim Woo Joo, yang mana ia juga putri tunggal dari keluarganya. Shim Woo Joo hanya tinggal bersama sang ayah sebelumnya, sampai hidupnya kini menjadi sengsara karena datangnya kekasih baru sang ayah.",K-Drama,2023,f62b766d-bf25-4cfc-bc1e-98840474e458.jpg
"0034",The Heavenly Idol,"Bermula saat seorang Dewa bernama Lembrary Pontifex (Kim Min Kyu) bertarung melawan iblis. Saat pertarungan berlangsung, ia dipindahkan ke dunia lain dan tanpa sadar menemukan dirinya dalam tubuh Woo Yeon Woo di sebuah asrama kecil. Woo Yeon Woo merupakan salah satu member grup idol Wild Animal. Grup idol ini sudah meniti karier selama kurang lebih tiga tahun, tetapi tidak terkenal dan bahkan hampir bubar. Setelah 9 jam berlalu, Pontifex Lembrary mau tak mau harus melakukan perform di atas panggung bersama Wild Animal. Bahkan siaran itu dilakukan secara live di sebuah stasiun penyiaran.",K-Drama,2023,f6ad7e96-46f7-4976-a7b8-c159c6e3edcf.jpg
"0035",Taxi Driver Season 2,"Jika Taxi Driver musim pertama menampilkan sebagian besar misi balas dendam solo oleh Do Gi (diperankan oleh Lee Je Hoon), Musim 2 menghadirkan peluang untuk lebih banyak kerja sama tim dan partisipasi dari anggota tim Taksi Pelangi. Setelah diburu dengan kejam oleh Ibu baptis, CEO Jang Seong Cheol (diperankan oleh Kim Eui Sung) sekarang muncul sebagai peserta yang antusias dalam aksi setelah kepergiannya. Episode musim ini berayun antara aksi solo oleh Do Gi, dan misi teman-teman yang fantastis dengan Go Eun (diperankan oleh Pyo Ye Jin), dengan intervensi berani sesekali oleh anggota tim yang benar-benar tak terduga untuk ukuran yang baik.",K-Drama,2023,412b256b-00ee-43dd-8aac-ba1ab5ad60af.jpg
"0036",Big Bet Season 2,"Cha Moosik masih memperjuangkan kasinonya walau sudah terlibat dalam kasus pencurian serta pembunuhan. Cha Moosik yang ditinggal rekan bisnisnya harus dipenjara dan juga dideportasi ke Korea Selatan. Setahun setelah persidangan di Korea Selatan, Cha Moosik kembali ke Filipina karena dinyatakan tidak bersalah. Dia juga melakukan pengejaran terhadap orang-orang yang telah menjerumuskannya ke dalam kasus tersebut dan juga membalaskan dendam. Cha Moosik kembali membuat pertaruhan besar yang berisiko terhadap hidupnya sendiri dalam upayanya ini.",K-Drama,2023,cb844ca0-49e5-433b-a1af-fd5163149345.jpg
"0037",Love to Hate You,Yeo Mi Ran adalah seorang pengacara pemula di Gilmu Hukum Firm yang bekerja terutama dengan industri hiburan Dia tidak tertarik memiliki hubungan romantis dan dia benci kalah dengan seorang pria dalam apapun. Nam Kang Ho adalah aktor papan atas di industri hiburan Dia adalah aktor paling populer di Korea Selatan karena penampilan tampan nya kecerdasan dan kebaikan Dia dicari setelah untuk bekerja dalam film romantis tapi dia tidak benar-benar mempercayai wanita. Yeo Mi Ran dan Nam Kang Ho yang keduanya tidak percaya jatuh cinta Into a love battle,K-Drama,2023,7106ec19-d030-42dc-8e1b-2ae37de8d325.jpg
"0038",Our Blooming Youth,"Mengikuti kisah putra mahkota Lee Hwan (Park Hyung-Sik) yang menerima kutukan misterius setelah naik tahta. Lee Hwan menggantikan kakak laki-lakinya lantaran meninggal. Lee Hwan pun menjalani takdir yang kelam. Dia lalu bertemu dengan Jae-yi (Jeon So-nee), yang kisah hidupnya tidak kalah rumit. Dia adalah seorang perempuan yang difitnah membunuh keluarganya sebelum pernikahannya. Jae-yi kemudian meminta bantuan Lee Hwan agar dibebaskan dari tudingan tersebut. Sebab, dia merasa dirugikan lantaran tidak bersalah. Tentunya, permintaannya tidak cuma-cuma. Jae-yi pun membantu Lee Hwan mematahkan kutukan misterius.",K-Drama,2023,61ebb087-9b14-4b18-a4e8-1ff645abaa54.jpg
"0039",Kokdu: Season of Deity,"Mengikuti alur cerita dari kisah cinta antara malaikat maut bernama Kokdu dengan dokter cantik, Han Gye Jeol. Ceritanya diawali dari Kokdu yang dihukum oleh Tuhan menjadi malaikat maut. Dia pernah melakukan kesalahan fatal. Hanya saja, sebagai malaikat maut mengharuskan Kokdu untuk bertindak dingin dan kejam. Dia memimpin roh-roh yang sudah meninggalkan dunia. Setiap 99 tahun, Kokdu mesti turun ke dunia sembari membawa fisik manusia nyata yang serupa dengannya. Di dunia, Kokdu memiliki tugas menghabisi orang-orang yang layak mati. Dalam tugas terbarunya saat turun ke dunia, Kokdu masuk ke dalam tubuh Do Jin Woo. Jin Woo lalu terlibat dalam kehidupan Han Gye Jeol yang merupakan dokter dari universitas berperingkat rendah. Gye Jeol kerap dirundung dan diremehkan karena statusnya itu.",K-Drama,2023,"0f9d0d9a-f4c8-46cb-b946-d75591d0b207.jpg"
"0040",Decoy,Ku Do Han seorang mantan pengacara menjadi detektif dalam pencarian untuk mengungkap kebenaran dibalik kejahatan yang belum terpecahkan dari masa lalu Dia menyelidiki kasus saat ini untuk mengumpulkan petunjuk untuk menemukan pelaku sepanjang perjalanannya dia bertemu dengan Cheon Na Yeon seorang reporter yang bersemangat dan No Sang Cheon seorang penipu bersama-sama mereka bekerja untuk mengungkap kebenaran dan membawa keadilan untuk kasus ini.,K-Drama,2023,"01dd580a-9a96-4bfc-98c3-09c33d98a116.jpg"
